"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
5,94,2,"Ed Kavalee, Urzila Carlson, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee, Urzila Carlson, Mick Molloy, Kitty Flanagan, Sam Pang","Ed Kavalee","8:45 pm Monday","15 May 2017","876,000[91]"
5,95,3,"Ed Kavalee, Abby Coleman, Peter Helliar, Fifi Box, Sam Pang","Ed Kavalee, Abby Coleman, Peter Helliar, Fifi Box, Sam Pang","Fifi Box","8:45 pm Monday","22 May 2017","859,000[92]"
5,96,4,"Ed Kavalee, Urzila Carlson, Dilruk Jayasinha, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Dilruk Jayasinha, Celia Pacquola, Sam Pang","Ed Kavalee","8:45 pm Monday","29 May 2017","808,000[93]"
5,97,5,"Ed Kavalee, Jane Kennedy, Marty Sheargold, Anne Edmonds, Sam Pang","Ed Kavalee, Jane Kennedy, Marty Sheargold, Anne Edmonds, Sam Pang","Marty Sheargold","8:45 pm Monday","5 June 2017","764,000[94]"
5,98,6,"Ed Kavalee, Georgie Carroll, Dave Hughes, Kitty Flanagan, Sam Pang","Ed Kavalee, Georgie Carroll, Dave Hughes, Kitty Flanagan, Sam Pang","Dave Hughes","8:45 pm Monday","12 June 2017","799,000[95]"
5,99,7,"Ed Kavalee, Urzila Carlson, Merrick Watts, Fifi Box, Santo Cilauro","Ed Kavalee, Urzila Carlson, Merrick Watts, Fifi Box, Santo Cilauro","Urzila Carlson","8:45 pm Monday","19 June 2017","804,000[96]"
5,100,8,"Ed Kavalee, Amanda Keller, Mick Molloy, Anne Edmonds, Sam Pang","Ed Kavalee, Amanda Keller, Mick Molloy, Anne Edmonds, Sam Pang","Amanda Keller","8:45 pm Monday","26 June 2017","808,000[97]"
5,101,9,"Ed Kavalee, Susie Youssef, Marty Sheargold, Cal Wilson, Sam Pang","Ed Kavalee, Susie Youssef, Marty Sheargold, Cal Wilson, Sam Pang","Marty Sheargold","8:45 pm Monday","3 July 2017","843,000[98]"
5,102,10,"Ed Kavalee, Urzila Carlson, Glenn Robbins, Kitty Flanagan, Dilruk Jayasinha","Ed Kavalee, Urzila Carlson, Glenn Robbins, Kitty Flanagan, Dilruk Jayasinha","Dilruk Jayasinha","8:45 pm Monday","10 July 2017","685,000[99]"
5,103,11,"Ed Kavalee, Jane Kennedy, Wil Anderson, Anne Edmonds, Sam Pang","Ed Kavalee, Jane Kennedy, Wil Anderson, Anne Edmonds, Sam Pang","Wil Anderson","8:45 pm Monday","17 July 2017","779,000[100]"
5,104,12,"Ed Kavalee, Urzila Carlson, Dave Hughes, Abby Coleman, Sam Pang","Ed Kavalee, Urzila Carlson, Dave Hughes, Abby Coleman, Sam Pang","Ed Kavalee","10:00 pm Monday","24 July 2017","583,000[101]"
5,105,13,"Ed Kavalee, Georgie Carroll, Glenn Robbins, Cal Wilson, Sam Pang","Ed Kavalee, Georgie Carroll, Glenn Robbins, Cal Wilson, Sam Pang","Ed Kavalee","9:00 pm Monday","31 July 2017","620,000[102]"
5,106,14,"Ed Kavalee, Kate Langbroek, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Kate Langbroek, Marty Sheargold, Kitty Flanagan, Sam Pang","Sam Pang","8:40 pm Monday","7 August 2017","626,000[103]"
5,107,15,"Ed Kavalee, Georgie Carroll, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Georgie Carroll, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","8:40 pm Monday","14 August 2017","639,000[104]"
5,108,16,"Ed Kavalee, Abby Coleman, Peter Helliar, Susie Youssef, Sam Pang","Ed Kavalee, Abby Coleman, Peter Helliar, Susie Youssef, Sam Pang","Peter Helliar","8:40 pm Monday","21 August 2017","641,000[105]"
5,109,17,"Ed Kavalee, Amanda Keller, Dilruk Jayasinha, Celia Pacquola, Sam Pang","Ed Kavalee, Amanda Keller, Dilruk Jayasinha, Celia Pacquola, Sam Pang","Amanda Keller","8:40 pm Monday","28 August 2017","668,000[106]"
5,110,18,"Ed Kavalee, Chrissie Swan, Nick Cody, Kitty Flanagan, Sam Pang","Ed Kavalee, Chrissie Swan, Nick Cody, Kitty Flanagan, Sam Pang","Ed Kavalee","8:40 pm Monday","4 September 2017","701,000[107]"
5,111,19,"Ed Kavalee, Jane Kennedy, Mick Molloy, Susie Youssef, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Susie Youssef, Sam Pang","Susie Youssef","8:40 pm Monday","11 September 2017","737,000[108]"
5,112,20,"Lehmo, Rose Matafeo, Marty Sheargold, Anne Edmonds, Sam Pang","Lehmo, Rose Matafeo, Marty Sheargold, Anne Edmonds, Sam Pang","Anne Edmonds","8:40 pm Monday","18 September 2017","693,000[109]"
5,113,21,"Ed Kavalee, Rose Matafeo, Glenn Robbins, Susie Youssef, Sam Pang","Ed Kavalee, Rose Matafeo, Glenn Robbins, Susie Youssef, Sam Pang","Rose Matafeo","9:00 pm Monday","25 September 2017","579,000[110]"
5,114,22,"Tony Martin, Urzila Carlson, Dave Hughes, Kitty Flanagan, Sam Pang","Tony Martin, Urzila Carlson, Dave Hughes, Kitty Flanagan, Sam Pang","Urzila Carlson","8:40 pm Monday","2 October 2017","721,000[111]"
5,115,23,"Ed Kavalee, Georgie Carroll, Peter Helliar, Anne Edmonds, Michael James Scott","Ed Kavalee, Georgie Carroll, Peter Helliar, Anne Edmonds, Michael James Scott","Peter Helliar","8:45 pm Monday","9 October 2017","760,000[112]"
5,116,24,"Ed Kavalee, Jane Kennedy, Mick Molloy, Anne Edmonds, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Anne Edmonds, Sam Pang","Ed Kavalee","8:30 pm Monday","16 October 2017","688,000[113]"
5,117,25,"Ed Kavalee, Urzila Carlson, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee, Urzila Carlson, Marty Sheargold, Celia Pacquola, Sam Pang","Ed Kavalee","8:30 pm Monday","23 October 2017","782,000[114]"
5,118,26,"Ed Kavalee, Susie Youssef, Wil Anderson, Kitty Flanagan, Sam Pang","Ed Kavalee, Susie Youssef, Wil Anderson, Kitty Flanagan, Sam Pang","Wil Anderson","8:30 pm Monday","30 October 2017","725,000[115]"
5,119,27,"Ed Kavalee, Rose Matafeo, Glenn Robbins, Anne Edmonds, Nick Cody","Ed Kavalee, Rose Matafeo, Glenn Robbins, Anne Edmonds, Nick Cody","Ed Kavalee","8:30 pm Monday","6 November 2017","633,000[116]"
5,120,28,"Ed Kavalee, Urzila Carlson, Tony Martin, Susie Youssef, Sam Pang","Ed Kavalee, Urzila Carlson, Tony Martin, Susie Youssef, Sam Pang","Sam Pang","8:30 pm Monday","13 November 2017","683,000[117]"
5,121,29,"Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Celia Pacquola","8:30 pm Monday","20 November 2017","695,000[118]"
6,123,1,"Ed Kavalee, Jane Kennedy, Kitty Flanagan, Anne Edmonds, Sam Pang","Ed Kavalee, Jane Kennedy, Kitty Flanagan, Anne Edmonds, Sam Pang","Ed Kavalee","8:45 pm Monday","14 May 2018","808,000[119]"
